,loss,sec
8000,2.37962904614e-06,17.9247466612
8100,2.22125768126e-06,15.11865453
8200,1.90915404367e-06,14.1760902405
8300,1.80611188327e-06,24.0499184704
8400,1.91799810399e-06,17.1131113601
8500,2.23992773983e-06,15.8989414001
8600,1.80956540804e-06,15.9743014884
8700,1.57439370677e-06,16.7181632304
8800,2.18984072897e-06,17.0627727509
8900,1.6941277413e-06,19.4920086908
9000,2.1289749831e-06,19.0846603608
9100,2.19404375037e-06,15.8680113578
9200,2.08593674478e-06,19.2920338607
9300,2.16494069861e-06,15.2353978491
9400,1.83028188444e-06,14.3862480307
9500,1.6425499135e-06,14.9356250691
9600,1.95922333915e-06,14.0599653888
9700,1.47862828268e-06,15.9310854697
9800,1.77688871738e-06,16.8283522892
9900,1.6973120313e-06,17.5067802
10000,1.60019770794e-06,14.4508067417
10100,1.64041803359e-06,15.5073565698
10200,1.797102155e-06,16.0886792922
10300,1.92520027999e-06,17.2957774711
10400,2.370339376e-06,15.6969959593
10500,1.84816993574e-06,17.81529176
10600,1.36871216741e-06,14.9258588099
10700,1.33074656126e-06,15.5168164396
10800,1.68511158877e-06,17.3570587802
10900,1.76601731732e-06,17.0616958594
11000,1.43041696016e-06,14.6322632408
11100,1.47903505495e-06,15.3145685697
11200,1.51203539188e-06,18.0716506195
11300,1.13669487361e-06,16.2322362781
11400,1.51133125439e-06,14.5081762409
11500,1.62750586126e-06,15.0635389614
11600,1.40060227595e-06,16.4419168782
11700,1.65167060622e-06,14.9787867808
11800,1.43586589805e-06,14.8985978889
11900,1.11354311716e-06,18.2028566694
12000,1.54404006634e-06,16.4616134
12100,1.27913914294e-06,16.6136626291
12200,1.23641705592e-06,14.4545589209
12300,1.43713945831e-06,17.6558626199
12400,1.23965585477e-06,19.1203141189
12500,1.21343865707e-06,17.4621921897
12600,1.13264905183e-06,14.7371432281
12700,1.01381918278e-06,19.0097541785
12800,1.16331670215e-06,17.3607992196
12900,1.17582171286e-06,14.2998797607
13000,1.09473454772e-06,14.7675088501
13100,1.38949171833e-06,14.5645802188
13200,1.46061855985e-06,15.9860949802
13300,1.09325054438e-06,15.9785535693
13400,1.01920319674e-06,15.8416996002
13500,1.16922536376e-06,15.9144511485
13600,1.08404643366e-06,17.0549485302
13700,1.10679326725e-06,18.0452924299
13800,1.07609612375e-06,18.7506090689
13900,9.7288839273e-07,15.0307537699
14000,9.20412531683e-07,14.6276773405
14100,1.039465887e-06,16.3722388411
14200,9.30738453925e-07,14.8441772985
14300,9.16050655929e-07,15.1642004609
14400,9.94777588024e-07,15.5605726099
14500,1.04975102494e-06,16.2889262891
14600,1.23022874447e-06,17.25216084
14700,9.13944765053e-07,16.7814464808
14800,1.12257406496e-06,17.8508403897
14900,1.00296014456e-06,16.2777209091
15000,8.5352784113e-07,14.5818622208
15100,1.12479218565e-06,17.0172378898
15200,8.90740154492e-07,16.8912712121
15300,9.87900713035e-07,17.4875025797
15400,8.5986721996e-07,15.8795103312
15500,1.03819310544e-06,16.5729293895
15600,8.86879273438e-07,16.7562071085
15700,9.93232164893e-07,16.9201653481
15800,9.34204535191e-07,15.4438005686
15900,1.11222371107e-06,15.260125072
16000,1.01508300932e-06,15.13288275
16100,9.45059485254e-07,18.5798710608
16200,9.17376388942e-07,16.7491574478
16300,8.00578337144e-07,16.3657772994
16400,8.88382452213e-07,15.9840868998
16500,6.96986270087e-07,16.9111938405
16600,1.09417894684e-06,16.8703881717
16700,7.60199789839e-07,14.8681361794
16800,9.78978490924e-07,15.0675375605
16900,8.18536276571e-07,17.1069788694
17000,7.38544203886e-07,18.9810518503
17100,7.23984258337e-07,16.1768101001
17200,7.557682693e-07,15.0800207686
17300,7.62749781807e-07,14.9407998109
17400,7.24133670978e-07,17.9272725987
17500,6.10578116839e-07,15.9291757798
17600,6.91099314683e-07,17.0610557008
17700,7.64138151325e-07,15.6196178484
17800,7.67258393429e-07,16.079819541
17900,6.20299866921e-07,16.8083732891
18000,7.64907407419e-07,17.4536538506
18100,6.34254958951e-07,15.1726402307
18200,6.57151351188e-07,14.3769107008
18300,5.27040389706e-07,15.150201242
18400,7.36277852594e-07,15.3991973996
18500,8.30438575181e-07,15.8012511611
18600,7.15793866156e-07,14.6066305304
18700,6.6515923607e-07,14.224166429
18800,5.31524910364e-07,14.9182963395
18900,5.64251632358e-07,15.4864246321
19000,5.99937454679e-07,15.70562778
19100,5.74724923159e-07,14.2052822208
19200,6.23035188967e-07,17.2717816496
19300,7.41744603195e-07,17.1904770899
19400,6.01504584011e-07,16.5166844988
19500,6.74304019747e-07,16.6778946996
19600,6.68970134458e-07,17.5822187996
19700,8.18835296528e-07,16.5868607306
19800,5.19353328319e-07,16.7735083199
19900,6.62710134136e-07,16.9431877398
