,loss,sec
34800,2.53E-07,1.349769881
34900,2.62E-07,1.350391939
35000,2.27E-07,1.350397141
35100,2.64E-07,1.34830415
35200,2.99E-07,1.347144489
35300,2.31E-07,1.348277881
35400,2.54E-07,1.46648958
35500,2.50E-07,1.35501256
35600,2.36E-07,1.348682759
35700,2.41E-07,1.349200239
35800,2.63E-07,1.348014719
35900,2.43E-07,1.347940209
36000,2.48E-07,1.347799361
36100,3.02E-07,1.346662831
36200,2.23E-07,1.34913029
36300,2.15E-07,1.345950232
36400,2.34E-07,1.34915369
36500,2.05E-07,1.347367821
36600,1.87E-07,1.34839072
36700,2.60E-07,1.347077971
36800,2.02E-07,1.347683539
36900,2.07E-07,1.347715032
37000,1.85E-07,1.34765579
37100,1.81E-07,1.34577179
37200,2.10E-07,1.350258129
37300,1.76E-07,1.348397739
37400,1.78E-07,1.346556458
37500,1.67E-07,1.348977399
37600,1.79E-07,1.347387521
37700,1.64E-07,1.348706989
37800,1.52E-07,1.34530144
37900,1.93E-07,1.34629622
38000,1.58E-07,1.347618909
38100,1.73E-07,1.35354846
38200,1.66E-07,1.347161851
38300,1.40E-07,1.347018421
38400,1.67E-07,1.346049709
38500,1.45E-07,1.348627932
38600,1.68E-07,1.345993841
38700,1.62E-07,1.347528999
38800,1.69E-07,1.347088618
38900,1.73E-07,1.346225662
39000,1.35E-07,1.346734321
39100,1.26E-07,1.40890394
39200,1.45E-07,1.628325329
39300,1.45E-07,1.466715109
39400,1.42E-07,1.48472656
39500,1.35E-07,1.45820663
39600,1.38E-07,1.5104738
39700,1.14E-07,1.50079464
39800,1.49E-07,1.527436039
39900,1.23E-07,1.500506439
sec,,
