,predict_price,real_price,predict_ratio,real_ratio
180,88.5487979349,118.528410259,0.000721734,0.0248697
181,88.0656984042,117.715561566,-0.00545574,-0.00685784
182,87.8113346806,117.588785819,-0.00288834,-0.00107697
183,87.5865245028,117.337855572,-0.00256015,-0.00213396
184,87.9761312549,117.160806699,0.00444825,-0.00150888
185,88.1585842022,116.740699818,0.00207389,-0.00358573
186,87.8928050861,114.793162219,-0.00301478,-0.0166826
187,88.3077929281,115.326229962,0.00472152,0.00464372
188,87.8052297191,115.409204548,-0.00569104,0.000719477
189,87.3970406847,114.589354532,-0.0046488,-0.00710385
190,88.5034312615,116.114514116,0.0126594,0.0133098
191,88.1959913677,117.114725831,-0.00347376,0.00861401
192,88.1652352713,117.307604605,-0.000348724,0.00164692
193,87.1386988673,116.690862129,-0.0116433,-0.00525748
194,88.0921170266,118.963732264,0.0109414,0.0194777
195,88.1791969217,121.248846248,0.00098851,0.0192085
196,88.0314555044,121.484211289,-0.00167547,0.00194117
197,88.4368366595,123.06829329,0.00460496,0.0130394
198,88.4572706455,122.94273852,0.000231057,-0.0010202
199,88.6931481715,122.725303786,0.00266657,-0.00176859
200,88.3333001276,123.035421075,-0.00405722,0.00252692
201,88.2147464344,123.111308926,-0.00134212,0.000616797
202,88.6329674545,123.759873413,0.00474094,0.00526811
203,88.8972648452,123.418719621,0.00298193,-0.00275658
204,89.0491859013,123.206518827,0.00170895,-0.00171936
205,89.1779703744,123.898107498,0.00144622,0.00561325
206,88.9821070679,126.004507676,-0.00219632,0.0170011
207,88.7863308537,127.852199156,-0.00220018,0.0146637
208,88.8331627646,128.353265593,0.000527468,0.00391911
209,89.0514520169,128.59711763,0.00245729,0.00189985
210,89.2018182906,129.261332699,0.00168853,0.00516509
211,89.4366928073,131.033136424,0.00263307,0.0137071
212,89.1099298324,130.515189885,-0.00365357,-0.00395279
213,89.152932641,130.029509355,0.000482582,-0.00372126
214,88.9222234368,132.288300011,-0.00258779,0.0173714
215,89.2055609903,134.833428995,0.00318635,0.0192393
216,89.0214901549,135.967503236,-0.00206345,0.00841093
217,88.7725255574,134.848994191,-0.00279668,-0.0082263
218,89.0642750981,135.384777092,0.00328648,0.00397321
219,88.555078878,132.750466455,-0.00571718,-0.019458
220,88.4744888952,134.6799885,-0.000910055,0.014535
221,88.3102681169,137.605888531,-0.00185614,0.0217248
222,88.154620444,137.957014976,-0.00176251,0.00255168
223,87.8484566028,135.209214088,-0.00347303,-0.0199178
224,87.2704040388,133.371930706,-0.00658011,-0.0135884
225,85.763667882,132.660499164,-0.0172651,-0.00533419
226,85.7644963314,134.570092866,9.65968e-06,0.0143946
227,85.4861394386,136.753951939,-0.0032456,0.0162284
228,85.1522840447,139.519504068,-0.00390537,0.0202228
229,85.1151721961,139.37786326,-0.000435829,-0.0010152
230,85.3067689183,139.622936274,0.00225103,0.00175834
231,84.9763565825,141.591981726,-0.00387323,0.0141026
232,85.0338967177,142.899868809,0.000677131,0.00923701
233,84.9676408102,140.864720294,-0.000779171,-0.0142418
234,84.5749829451,143.051473765,-0.00462126,0.0155238
235,84.8653225853,143.609541465,0.00343293,0.00390117
236,84.697772701,143.634387735,-0.0019743,0.000173013
237,84.8049236338,140.977681256,0.0012651,-0.0184963
